id,qid1,qid2,question1,question2,is_duplicate,min_freq,common_neighbours
0,1,2,what is the step by step guide to invest in share market in india,what is the step by step guide to invest in share market,0,0,0
1,3,4,what is the story of kohinoor koh - i - noor diamond,what would happen if the indian government stole the kohinoor koh - i - noor diamond back,0,0,0
2,5,6,how can i increase the speed of my internet connection while using a vpn,how can internet speed be increased by hacking through dns,0,0,0
3,7,8,why am i mentally very lonely how can i solve it,find the remainder when math two three two four math is divided by two four two three ,0,0,0
4,9,10,which one dissolve in water quickly sugar salt methode and carbon di oxide,which fish would survive in salt water,0,0,0
5,11,12,astrology i am a capricorn sun cap moon and cap rising what does that say about me,i am a triple capricorn sun moon and attendant in capricorn what does this say about me,1,0,0
6,13,14,should i buy ago,what keeps children active and far from phone and video games,0,0,0
7,15,16,how can i be a good geologist,what should i do to be a great geologist,1,0,0
8,17,18,when do you use instead of ,when do you use instead of and,0,0,0
9,19,20,motorola company can i hack my charter motorolla dcx three four zero zero ,how do i hack motorola dcx three four zero zero for free internet,0,0,0
10,21,22,method to find separation of slits using fresnel biprism,what are some of the things technicians can tell about the disability and reliability of laptops and its components,0,0,0
11,23,24,how do i read and find my youtube comments,how can i see all my youtube comments,1,0,0
12,25,26,what can make physics easy to learn,how can you make physics easy to learn,1,0,0
13,27,28,what was your first sexual experience like,what was your first sexual experience,1,0,0
14,29,30,what are the laws to change your status from a student visa to a green card in the us how do they compare to the immigration laws in canada,what are the laws to change your status from a student visa to a green card in the us how do they compare to the immigration laws in japan,0,0,0
15,31,32,what would a trump presidency mean for current international master s students on an f one isa,how will a trump presidency affect the students presently in us or planning to study in us,1,0,0
16,33,34,what does manipulation mean,what does manipulation means,1,0,0
17,35,36,why do girls want to be friends with the guy they reject,how do guns feel after rejecting a girl,0,0,0
18,37,38,why are so many quora users posting questions that are readily answered on google,why do people ask quora questions which can be answered easily by google,1,0,0
19,39,40,which is the best digital marketing institution in banglore,which is the best digital marketing institute in pune,0,0,0
20,41,42,why do rickets look white,why are rickets and blisters painted white,1,0,0
21,43,44,what is causing someone to be jealous,what can i do to avoid being jealous of someone,0,0,0
22,45,46,what are the questions should not ask on quora,which question should i ask on quora,0,0,0
23,47,48,how much is three zero iv in hp,where can i find a conversion chart for cc to horsepower,0,0,0
24,49,50,what does it mean that every time i look at the clock the numbers are the same,how many times a day do a clock s hands overlap,0,0,0
25,51,52,what are some tips on making it through the job interview process at medicines,what are some tips on making it through the job interview process at foundation medicine,0,0,0
26,53,54,what is web application,what is the web application framework,0,0,0
27,55,56,does society place too much importance on sports,how do sports contribute to the society,0,0,0
28,57,58,what is best way to make money online,what is best way to ask for money online,0,0,0
29,59,60,how should i prepare for ca final law,how one should know that hesse completely prepare for ca final exam,1,0,0
30,61,62,what is one thing you would like to do better,what is one thing you do despite knowing better,0,0,0
